line_id,dsp,first_time,last_time
l01-0,往莘庄,05:00,22:30
l01-1,往富锦路,05:00,22:30
l02-0,往徐泾东,05:00,22:30
l02-1,往浦东国际机场,05:00,22:30
l03-0,往江杨北路,05:00,22:30
l03-1,往上海南站,05:00,22:30
l04-0,往上海体育馆,05:00,22:30
l04-1,往虹桥路,05:00,22:30
e05-0,往闵行开发区,05:00,22:30
e05-1,往东川路,05:00,22:30
l05-0,往奉贤新城,05:00,22:30
l05-1,往莘庄,05:00,22:30
l06-0,往东方体育中心,05:00,22:30
l06-1,往港城路,05:00,22:30
l07-0,往美兰湖,05:00,22:30
l07-1,往花木路,05:00,22:30
l08-0,往市光路,05:00,22:30
l08-1,往沈杜公路,05:00,22:30
l09-0,往松江南站,05:00,22:30
l09-1,往曹路,05:00,22:30
b10-0,往航中路,05:00,22:30
b10-1,往新江湾城,05:00,22:30
l10-0,往虹桥火车站,05:00,22:30
l10-1,往新江湾城,05:00,22:30
b11-0,往花桥,05:00,22:30
b11-1,往迪士尼,05:00,22:30
l11-0,往嘉定北,05:00,22:30
l11-1,往迪士尼,05:00,22:30
l12-0,往金海路,05:00,22:30
l12-1,往七莘路,05:00,22:30
l13-0,往张江路,05:00,22:30
l13-1,往金运路,05:00,22:30
l16-0,往滴水湖,05:00,22:30
l16-1,往龙阳路,05:00,22:30
l17-0,往虹桥火车站,05:00,22:30
l17-1,往东方绿舟,05:00,22:30
m01-0,往浦东国际机场,05:00,22:30
m01-1,往龙阳路,05:00,22:30
c01-0,往汇臻路,05:00,22:30
c01-1,往沈杜公路,05:00,22:30
