minutegroup,entry
53,4
54,1
55,2
56,4
59,2
60,1
61,3
62,2
63,2
64,5
65,4
66,6
67,2
68,6
69,5
70,14
71,7
72,4
73,8
74,10
75,9
76,15
77,18
78,24
79,24
80,31
81,39
82,35
83,50
84,68
85,85
86,53
87,61
88,50
89,52
90,51
91,56
92,76
93,92
94,88
95,87
96,107
97,99
98,107
99,94
100,123
101,134
102,135
103,125
104,127
105,131
106,117
107,112
108,109
109,91
110,119
111,104
112,97
113,90
114,78
115,92
116,99
117,114
118,93
119,82
120,97
121,94
122,85
123,105
124,96
125,80
126,82
127,100
128,83
129,115
130,89
131,101
132,82
133,75
134,87
135,83
136,73
137,117
138,75
139,78
140,83
141,75
142,93
143,118
144,83
145,80
146,77
147,85
148,74
149,79
150,60
151,89
152,68
153,79
154,44
155,69
156,58
157,53
158,64
159,66
160,63
161,83
162,69
163,80
164,119
165,79
166,72
167,87
168,97
169,89
170,117
171,79
172,104
173,130
174,99
175,110
176,100
177,110
178,109
179,123
180,117
181,125
182,125
183,138
184,133
185,128
186,141
187,105
188,110
189,135
190,150
191,120
192,166
193,157
194,151
195,156
196,159
197,170
198,171
199,196
200,219
201,256
202,328
203,322
204,373
205,427
206,475
207,415
208,343
209,322
210,325
211,464
212,589
213,454
214,402
215,346
216,322
217,444
218,520
219,491
220,448
221,431
222,351
223,329
224,301
225,301
226,262
227,243
228,185
229,178
230,184
231,189
232,141
233,140
234,131
235,126
236,92
237,118
238,107
239,116
240,98
241,120
242,142
243,128
244,98
245,90
246,85
247,96
248,89
249,102
250,98
251,83
252,112
253,108
254,112
255,85
256,84
257,89
258,82
259,100
260,73
261,77
262,81
263,92
264,72
265,60
266,58
267,88
268,111
269,94
270,43
271,33
272,34
273,31
274,30
275,11
276,2
277,1
